DBIndex,LanguageKey,Distribution,Value
1,1,1,You don't have to translate this
2,2,1,You don't have to translate this
3,1,2,"Arch Linux ist eine i686- und AMD64-optimierte Linux-Distribution nach dem KISS-Prinzip. Aufgrund dieses minimalistischen Ansatzes ist Arch Linux als Distribution für fortgeschrittene Benutzer zu sehen, da auf grafische Installations- und Konfigurationshilfen zu Gunsten der Einfachheit verzichtet wird."
4,2,2,"Arch Linux (or Arch /ˈɑrtʃ/) is a Linux-based operating system for i686 and x86-64 computers. It is composed predominantly of free and open source software, and supports community involvement.  The design approach of the development team focuses on elegance, code correctness, minimalism, and simplicity, and expects the user to be willing to make some effort to understand the system's operation. A package manager written specifically for Arch Linux, pacman, is used to install, remove and update software packages.  Arch Linux uses a rolling release model, such that a regular system update is all that is needed to obtain the latest Arch software; the installation images released by the Arch team are simply up-to-date snapshots of the main system components."
5,1,3,"Die Entwickler verfolgen mit Ubuntu das Ziel, ein einfach zu installierendes und leicht zu bedienendes Betriebssystem mit aufeinander abgestimmter Software zu schaffen. Dies soll unter anderem dadurch erreicht werden, dass für jede Aufgabe genau ein Programm zur Verfügung gestellt wird. Das Projekt wird vom Software-Hersteller Canonical Ltd. gesponsert, das vom südafrikanischen Unternehmer Mark Shuttleworth gegründet wurde"
6,2,3,"Ubuntu (/uːˈbuːntuː/ oo-boon-too) is a Debian-based Linux operating system, with Unity as its default desktop environment (GNOME was the previous desktop environment). It is based on free software and named after the Southern African philosophy of ubuntu (literally, ""human-ness""), which often is translated as ""humanity towards others"" or ""the belief in a universal bond of sharing that connects all humanity"".  According to some metrics, Ubuntu is the most popular desktop Linux distribution to date. See Installed base section.  Development of Ubuntu is led by Canonical Ltd., a company owned by South African entrepreneur Mark Shuttleworth. Canonical generates revenue through the sale of technical support and other services related to Ubuntu. The Ubuntu project is publicly committed to the principles of open source development; people are encouraged to use free software, study how it works, improve upon it, and distribute it."
7,1,4,"Manjaro ist eine auf Arch Linux basierende Linux-Distribution, die in Deutschland, Frankreich und Österreich entwickelt wird. Es ist in erster Linie ein freies Betriebssystem für Personal Computer welches auf Benutzerfreundlichkeit ausgerichtet ist. 
Wie seine Basis, Arch Linux, nutzt es ein Rolling-Release-Modell."
8,2,4,"Manjaro Linux, or just Manjaro (pronounced like Kilimanjaro), is a Linux distribution, with Xfce as its default user interface. It is a primarily free software operating system for personal computers aimed at ease of use. Like its base, Arch Linux, it uses a rolling release model."
9,1,5,"Linux Mint ist eine Linux-Distribution, die es in zwei Varianten gibt. Die erste Variante, die Haupt-Ausgabe, basiert auf der Distribution Ubuntu. Die zweite Variante, Linux Mint Debian Edition (LMDE) genannt, beruht auf Debian testing. 
</br>
Linux Mint enthält im Gegensatz zu Ubuntu in der Standard-Ausgabe bereits Codecs für verschlüsselte DVDs, MP3 oder DivX sowie Plugins wie Adobe Flash und Oracle Java. Zudem ist NDISwrapper für die Unterstützung von WLAN-Karten ohne eigenen Linux-Treiber vorinstalliert und es gibt einige Programme und Anleitungen, um die Kommunikation mit Windows-Systemen auf dem gleichen oder anderen Computern zu vereinfachen. Technisch benutzt man die Paketquellen von Ubuntu sowie eine weitere, eigene mit den veränderten und zusätzlichen Paketen. Dadurch sind für die Benutzer von Linux Mint alle Aktualisierungen von Ubuntu ebenfalls verfügbar."
10,2,5,"Linux Mint is a 32- and 64-bit Linux distribution for desktop computers, based on either Ubuntu or Debian. Its stated aim is to be a ""modern, elegant and comfortable operating system which is both powerful and easy to use."" Mint provides full out-of-the-box multimedia support by including some proprietary software such as Adobe Flash. Mint's motto is ""from freedom came elegance"".  New versions of Linux Mint have been released approximately every six months. The first release, named ""Ada"", was released in 2006. The 17th release, ""Qiana"", was released on May 31, 2014. Support for older releases usually ends shortly after the next version is released, but there have been releases with long-term support, with v17.x supported for five years, ending in April 2019."
11,1,6,"Debian ist ein seit 1993 gemeinschaftlich entwickeltes, freies Betriebssystem. Debian GNU/Linux, das auf den grundlegenden Systemwerkzeugen des GNU-Projektes sowie dem Linux-Kernel basiert, ist eine der ältesten, einflussreichsten und am weitesten verbreiteten GNU/Linux-Distributionen. Das heute bekannteste Debian-GNU/Linux-Derivat ist Ubuntu."
12,2,6,"Debian (/ˈdɛbiən/) is an operating system which is composed primarily of free software, most of which is under the GNU General Public License, and developed by a group of individuals known as the Debian project. Debian is one of the most popular Linux distributions for personal computers and network servers, and has been used as a base for several other Linux distributions.  Debian was first announced in 1993 by Ian Murdock, and the first stable release was made in 1996. The development is carried out over the Internet by a team of volunteers guided by a project leader and three foundational documents. New distributions are updated continually, and the next candidate is released after a time-based freeze.  As one of the earliest Linux distributions, it was envisioned that Debian was to be developed openly in the spirit of Linux and GNU. This vision drew the attention and support of the Free Software Foundation, which sponsored the project for the first part of its life."
13,1,7,"Mageia ist eine Linux-Distribution, die im September 2010 als Abspaltung von Mandriva Linux ins Leben gerufen wurde. 

Die Systemkonfiguration wird bei Mageia Linux mit eigenen Werkzeugen im Rahmen der „Drak-Tools“ konfiguriert – hierzu steht eine zentrale grafische Oberfläche (genannt „Mageia-Kontrollzentrum“) zur Verfügung."
14,2,7,"Mageia is a Linux computer operating system, distributed as free and open source software. It is forked from the Mandriva Linux distribution.  The first release of the software distribution, Mageia 1, took place in June 2011."
15,1,8,"Fedora ist eine RPM-basierte Linux-Distribution. Ziel der Entwickler der Distribution ist es, freie Software zu fördern und ein Betriebssystem für eine möglichst vielfältige Zielgruppe zu gestalten. Organisiert wird die Entwicklung in der Online-Community des Fedora-Projekts, das vom Unternehmen Red Hat angeführt wird. Fedora ist der direkte Nachfolger von Red Hat Linux. Das englische Wort Fedora bezeichnet eine spezielle Art des Filzhuts, das Markenzeichen des Unternehmens Red Hat."
16,2,8,"Fedora /fɨˈdɒr.ə/ (formerly Fedora Core) is an operating system based on the Linux kernel, developed by the community-supported Fedora Project and owned by Red Hat. Fedora contains software distributed under a free and open source license and aims to be on the leading edge of such technologies.  Linus Torvalds, author of the Linux kernel, uses Fedora on all his computers."
17,1,9,"openSUSE, ehemals SUSE Linux und SuSE Linux Professional, ist eine Linux-Distribution des Unternehmens SUSE Linux GmbH. Sie wird insbesondere in Deutschland verbreitet eingesetzt. Der Fokus der Entwickler liegt darauf, ein stabiles und benutzerfreundliches Betriebssystem mit großer Zielgruppe für Desktop und Server zu erschaffen."
18,2,9,"openSUSE /ˌoʊpənˈsuːzə/ is a general purpose operating system built on top of the Linux kernel, developed by the community-supported openSUSE Project and sponsored by SUSE and a number of other companies. After Novell acquired SUSE Linux in January 2004,[4] Novell decided to release the SUSE Linux Professional product as a 100% open source project.[5] In 2011 The Attachmate Group acquired Novell and split Novell and SUSE into two autonomous subsidiary companies. SUSE offers products and services around SUSE Linux Enterprise—their commercial offering that is based on openSUSE Linux.  The initial release of the community project was a beta version of SUSE Linux 10.0, and as of November 19, 2013 the current stable release is openSUSE 13.1."
19,1,10,"elementary ist ein im Jahr 2007 entstandenes freies Software-Projekt, das ursprünglich eine Sammlung von Programmen und Designs für Ubuntu zusammenstellte, welche sich stark am „Look and Feel“ von Mac OS X orientierten. Seit März 2011 gibt es eine eigene Ubuntu-basierende Linux-Distribution unter dem Namen elementary OS."
