DBIndex,Question,LanguageKey,Text,Helptext
1,1,1,PC-Kenntnisse,"Um einschätzen zu können, welche Distribution passt, ist es wichtig, die Kenntnisse zu kennen. Ich beschreibe meine Computerkenntnisse wie folgt:"
2,1,2,Computer knowledge,It is important to know your computing skills to select the correct distribution. I describe my skills in computing as following:
3,2,1,Linux-Kenntnisse,"Um die Menge an passenden Linux-Distributionen einschränken zu können, muss der Stand der Linux-Kenntnisse bekannt sein."
4,2,2,Linux-Knowledge,"To find the correct Linux distribution, the test needs to know how you describe your skills with Linux."
5,3,1,Einstieg in Linux,"Mir ist es wichtig, dass die Distribution besonders einsteigerfreundlich gestaltet ist."
6,3,2,Begin with Linux,It is important to me that the distribution is very beginner friendly.
7,4,1,Linux-Gemeinschaft,"Häufig gibt es bei Linux-Distributionen Communities, die bei Problemen helfen können."
8,4,2,Linux-Community,Often there are commnunities for Linux distributions which are discussing about several topics.
9,5,1,Installation,"Es gibt verschiedene Wege, eine Linux-Distribution zu installieren. Es ist möglich, einen grafischen Assistenten zu nutzen, aber es ist auch möglich, die Installation über die Konsole durchzuführen."
10,5,2,Installation,"There are many ways to install Linux. Often you can install it with an graphical installation assistant, but often you can install it using the console, too."
11,6,1,Preise,"Ein Großteil der Linux-Distributionen sind kostenlos erhältlich. Es gibt jedoch auch Distributionen, die gegen einen Geldbetrag genutzt werden können. Diese Distributionen bieten dann z. B. Herstellersupport bei Problemen an."
12,6,2,Pricing,A big part of the Linux distributions can be downloaded for free. Some distributions can be bought and you get manufacturer support when facing any problems.
13,7,1,Umfang,"Distributionen unterscheiden sich teils im Umfang. Manche Distributionen bringen nur das Basissystem, andere liefern bereits Programme für den täglichen Gebrauch mit"
14,7,2,Scale,"Distributions differ from its scale. Some distributions deliver only the base system, other will deliver programs for the daily use, too."
15,8,1,Zielsystem,"Es gibt Distributionen, die nicht auf allen Systemen laufen. Im Gegenzug gibt es auch Distributionen, die nur für eine spezielle Gattung Systeme geeignet sind, z. B. für alte Systeme."
16,8,2,Target system,"Some distributions don't run on all systems. But also there are distributions, which are made for a special kind of system, e. g. old computers."
17,9,1,Ziel der Installation,"Es ist möglich, Linux auf verschiedenen Medien zu installieren. Klassich kann man es auf der Festplatte installieren, aber man kann auch von einem USB-Stick oder einer so genannten Live-CD arbeiten."
18,9,2,Target of installation,"Classical you will install Linux to your hard drive of your computer. But it is also possible to install Linux on an usb-drive or a CD/ DVD, called a live disk."
19,10,1,Softwaremanagement,In der Linux-Welt werden Programme häufig über so genannte Pakete installiert und von einem Paketmanagement verwaltet. Es gibt verschiedene Ansätze für dieses Paketmanagement.
20,10,2,Sofware management,"Using Linux, you will install programs often with packages using a package management system. There are different approaches for this idea."
21,11,1,Verwendung von Linux,"Es gibt Distributionen, die für einen bestimmten Zweck gedacht sind. Andere sind eher für das Arbeiten jeden Tag geeignet."
22,11,2,Usage of Linux,"There are a view distributions, which are made for a special purpose. Other distributions are more made for daily purpose."
23,12,1,Betriebssystemkenntnisse,"Es ist wichtig zu wissen, welche Erfahrungen der Benutzer mit verschiedenen Betriebssystemen gemacht hat."
24,12,2,Operating System knowledge,It is important to know which operating systems you used before.
25,13,1,Softwareupdates,"Es gibt verschiedene Modelle, um Aktualisierungen bereitzustellen. Dabei kann die Stabilität der Updates stark variieren. Manche Distributionen setzen eher auf schnelle Updates, was zu Lasten der Stabilität ausfällt."
26,13,2,Software updates,"There are several models how to update softwares. Some distributions deliver the updates very fast, which can lower the stability."
27,14,1,Software-Ideologie,"Viele Distributionen setzen bei ihrer Ideologie auf so genannte freie Software. Es gibt aber auch Distributionen, die so genannte unfreie/ geschlossene Software einsetzen. "
28,14,2,Software ideology,Many distributions using free software to complete tasks. But some distributions also using non-free or proprietary software.
29,15,1,Datenschutz,"Es gibt Distributionen, die zu verschiedenen Onlinediensten Verbindungen aufbauen, solange man dies nicht deaktiviert."
30,15,2,Privacy,Some Distributions connect to online services until you disable it.
31,16,1,Benutzererfahrung,"Ich lege Wert auf eine in sich geschlossene Benutzererfahrung. Damit meine ich, dass beginnend beim Installationsassistenten die Distribution einen in sich geschlossenen Eindruck in Sachen Design, Icons und Benutzerführung macht."
32,16,2,User experience,"I prefer distributions with a self-contained experience. I want a distribuition with suitable design, icons and intuitive user guidance"
