DBIndex,LanguageKey,Value,
1,1,Linux Auswahlhilfe,Title
2,2,Linux Distribution Chooser,Title
3,1,"<h1 id=""StartWelcomeTitle""> <img class=""largelogo"" src=""./assets/tux.png"">Willkommen!</h1>
            <p id=""StartText"">Dieser Test soll Dir helfen, die für Deine Zwecke am besten geeignete Linux-Distribution zu finden. <br> Dabei stellt Dir der Test einfache Fragen, um z. B. ungeeignete Distributionen auszuschließen.<br>
<ul class=""list"">
<li>Du kannst Fragen auslassen</li>
<li>Du kannst jederzeit ein Zwischenergebnis einholen</li>
<li>Du kannst Fragen in beliebiger Reihenfolge beantworten</li>
<li>Antworten können mit Klicken auf das rote <span style=""color:darkred"" class=""glyphicon glyphicon-remove""></span> entfernt werden</li>
</ul>",test
4,1,Auswerten,getresult
5,2,Get result,getresult
6,1,Beantwortet,answered
7,2,Answered,answered
8,1,"<h1 id=""StartWelcomeTitle""> <img class=""largelogo hidden-xs"" src=""./assets/tux.png"" alt=""Willkommen beim Distrochooser""></h1>
            <p id=""StartText"">Dieser Test soll Dir helfen, die für Deine Zwecke am besten geeignete Linux-Distribution zu finden. <br> Dabei stellt Dir der Test einfache Fragen, um z. B. ungeeignete Distributionen auszuschließen.<br>
<ul class=""list"">
<li>Du kannst Fragen auslassen</li>
<li>Du kannst jederzeit ein Zwischenergebnis einholen</li>
<li>Du kannst Fragen in beliebiger Reihenfolge beantworten</li>
        <li>Je mehr Fragen du beantwortest, desto genauer kann das Ergebnis ermittelt werden</li>
</ul>
 <a class=""btn btn-primary"" href=""#"" id=""startTest"">Test starten</a>",welcomeText
9,2,"<h1 id=""StartWelcomeTitle""> <img class=""largelogo hidden-xs"" src=""./assets/tux.png"" alt=""Welcome to the distrochooser""></h1>
            <p id=""StartText"">This test should help you to find the suitable Linux Distribution.<br> The test will ask you simple questions to include the suitable distributions<br>
<ul class=""list"">
<li>You can leave questions unanswered</li>
<li>You can get the result at any time</li>
<li>You can answer the questions in the order you want</li>
        <li>The amount of answers you give increases the quality of the result</li>
</ul>
 <a class=""btn btn-primary"" href=""#"" id=""startTest"">Start test</a>",welcomeText
10,1,Willkommen!,welcomeTextHeader
11,2,Welcome!,welcomeTextHeader
12,1,Keine Distribution passend :(,zerodistros
13,2,No distros suitable :(,zerodistros
14,1,Ergebnis,Result
15,2,Result,Result
16,1,Kontakt,contact
17,2,Contact,contact
18,1,Datenschutz,privacy
19,2,Privacy,privacy
20,1,Teilen,share
21,2,Share,share
22,1,Häufig gestellte Fragen,faq
23,2,Frequently asked questions,faq
24,1,Es konnten keine Distributionen anhand der Antworten ermittelt werden!,NoResults
25,2,No distributions could be determined!,NoResults
26,1,Ein Projekt von,Vendor
27,2,A project made by,Vendor
28,1,Teilen,shareTitle
29,2,Share,shareTitle
30,1,Passend,Suitable
31,2,Suitable,Suitable
32,1,You don't have to translate this,imprint
33,2,You don't have to translate this,imprint
34,1,You don't have to translate this,privacyText
35,2,You don't have to translate this,privacyText
36,1,Über den Distrochooser,about
37,2,About the distrochooser,about
38,1,beantwortet,questionanswered
39,2,answered,questionanswered
40,1,Bisher gemachte Tests: ,testCount
41,2,Tests made until now:,testCount
