"val","langCode","translation"
"a.2033.text","es","A menudo necesito ayuda de otros usuarios para solucionar problemas con mi ordenador."
"a.2034.text","es","Ya puedo resolver por mi cuenta algunos problemas con mi ordenador."
"a.2035.text","es","Puedo solucionar problemas con mi ordenador."
"a.2036.text","es","No tengo conocimientos sobre Linux."
"a.2037.text","es","Ya he utilizado Linux para algunos fines."
"a.2038.text","es","Tengo un buen conocimiento sobre el sistema operativo Linux."
"a.2039.text","es","Quiero usar los valores preestablecidos predeterminados en el asistente de instalación."
"a.2040.text","es","No necesito valores preestablecidos en los asistentes de instalación o mientras configuro el sistema."
"a.2041.text","es","Prefiero configurar todo con una interfaz gráfica."
"a.2042.text","es","Quiero instalar Linux de la ""manera clásica"" en el disco duro de mi ordenador."
"a.2043.text","es","Quiero instalar Linux en una unidad flash USB."
"a.2044.text","es","Primero quiero probar Linux arrancando desde un USB o DVD sin cambiar nada en mi ordenador."
"a.2045.text","es","Puedo resolver mis problemas utilizando guías de páginas wiki o tutoriales."
"a.2046.text","es","Prefiero pedir ayuda a otros usuarios."
"a.2047.text","es","Prefiero una interfaz de usuario tipo Windows."
"a.2048.text","es","Prefiero una interfaz de usuario tipo macOS."
"a.2049.text","es","No prefiero ningún estilo de interfaz de usuario concreto."
"a.2050.text","es","Puedo permitirme pagar una tarifa para usar una distribución."
"a.2051.text","es","Prefiero una distribución gratuita."
"a.2052.text","es","Prefiero una distribución con programas preinstalados para comenzar a trabajar tras finalizar la instalación."
"a.2053.text","es","Prefiero instalar el software yo mismo."
"a.2054.text","es","Quiero usar licencias libres tanto como pueda."
"a.2055.text","es","Estoy de acuerdo con usar licencias no libres siempre que mi sistema funcione."
"a.2056.text","es","Si mejora mi experiencia de usuario, estoy de acuerdo con el uso de dichos servicios en línea."
"a.2057.text","es","No quiero esto."
"a.2058.text","es","Esto es importante para mi."
"a.2059.text","es","No me interesa, instalaré los fondos de pantalla, íconos y temas por mi cuenta."
"a.2060.text","es","Quiero instalar aplicaciones a través de una tienda de aplicaciones."
"a.2061.text","es","Quiero instalar software usando principalmente comandos de terminal."
"a.2062.text","es","Prefiero actualizaciones frecuentes (última versión del software)."
"a.2063.text","es","Prefiero actualizaciones estables (software anterior pero más probado)."
"a.2064.text","es","Quiero usar Linux para uso diario."
"a.2065.text","es","Quiero usar Linux para navegar de manera anónima."
"a.2066.text","es","Quiero usar Linux para recuperar datos."
"a.2067.text","es","Prefiero una distribución respaldada por los creadores / distribuidores de videojuegos."
"a.2068.text","es","Quiero usar la distribución para fines científicos."
"a.2069.text","es","Mi ordenador debería admitir 64 bits (este es el caso de todos los ordenadores de los últimos cinco años)"
"a.2070.text","es","No estoy seguro de esto y/o mi ordenador ya tiene problemas de rendimiento."
"a.2071.text","es","Deseo ejecutar todas las aplicaciones en contenedores aislados. Soy consciente de que esto puede hacer que la distribución sea más difícil de usar."
"a.2072.text","es","Sé lo que es 'systemd' y deseo evitarlo."
"a.2073.text","es","Deseo instalar paquetes de otras distribuciones sin esfuerzo adicional."
"a.2074.text","es","No quiero administradores de paquetes. Voy a instalar todo por mi cuenta."
"all-like","es","Conceptos de interfaz gráfica similares a otros sistemas operativos."
"container","es","Las aplicaciones se ejecutan en un entorno aislado."
"d.1.description","es","Arch Linux es un sistema operativo basado en Linux para ordenadores i686 y x86-64. Se compone principalmente de software de código libre y abierto, y es apoyado por su comunidad. El enfoque de diseño del equipo de desarrollo se centra en la elegancia, corrección de código, minimalismo y simplicidad, y espera que el usuario esté dispuesto a hacer un esfuerzo para comprender el funcionamiento del sistema. El administrador de paquetes escrito específicamente para Arch Linux, pacman, se usa para instalar, eliminar y actualizar paquetes de software. Arch Linux utiliza un modelo de lanzamiento continuo (rolling release), de modo que solo se necesita una actualización regular del sistema para obtener el último software de Arch; las imágenes de instalación lanzadas por el equipo de Arch son simplemente instantáneas actualizadas de los principales componentes del sistema."
"d.10.description","es","PCLinuxOS, a menudo acortado a PCLOS, es una distribución de Linux, usa KDE Plasma Desktop como interfaz de usuario predeterminada. Es un sistema operativo de software principalmente libre para computadoras personales destinado a ser fácil de usar. Se considera una distribución de lanzamiento continuo (rolling release)."
