"val","langCode","translation"
"a.2033.text","en","I often need help by other users troubleshooting problems with my computer."
"a.2034.text","en","I am already able to solve some problems with my computer by myself."
"a.2035.text","en","I can troubleshoot problems with my computer by myself."
"a.2036.text","en","I do not have any or just a little knowledge about Linux."
"a.2037.text","en","I already used Linux for some purposes."
"a.2038.text","en","I have a good knowledge about the Linux operating system."
"a.2039.text","en","I want to use the default preset values in the installation assistant."
"a.2040.text","en","I do not need preset values in installation assistants or while doing the configuration of the system."
"a.2041.text","en","I prefer to do as many settings using graphical interfaces by myself"
"a.2042.text","en","I want to install Linux the ""classical way"" on the hard disk of my computer."
"a.2043.text","en","I want to install Linux on a USB flash drive."
"a.2044.text","en","I want to test Linux first by booting from USB or DVD without changing anything on my computer."
"a.2045.text","en","I am able to solve my problems using guides from wiki pages or tutorials."
"a.2046.text","en","I prefer asking other users for help."
"a.2047.text","en","I prefer a windows like user interface."
"a.2048.text","en","I prefer a macOS like user interface."
"a.2049.text","en","I do not prefer any user interface style."
"a.2050.text","en","I can afford a fee to use the distribution."
"a.2051.text","en","I prefer a free-to-use distribution."
"a.2052.text","en","I prefer a distribution shipping all the programs I need to start working immediate after installation."
"a.2053.text","en","I want to select the programs to install by myself."
"a.2054.text","en","I want to use free licenses as much as I can"
"a.2055.text","en","I'm fine with unfree licenses as long as my system works."
"a.2056.text","en","If it improves my user expierience, I agree with using such online services."
"a.2057.text","en","I do not want this."
"a.2058.text","en","This is important to me."
"a.2059.text","en","I do not appreciate this. I will install icons, wallpapers and themes by myself."
"a.2060.text","en","I want to install my programs using a kind of ""App store""."
"a.2061.text","en","I want to install software mostly using terminal commands."
"a.2062.text","en","I prefer fast updates."
"a.2063.text","en","I prefer stable updates."
"a.2064.text","en","I want to use Linux for daily use."
"a.2065.text","en","I want to use Linux for anonymous web browsing."
"a.2066.text","en","I want to use Linux for data rescue."
"a.2067.text","en","I prefer a distribution which is supported by game publishers."
"a.2068.text","en","I want to use the distribution for scientific purposes."
"a.2069.text","en","My computer should support the 64 bit architecture (all computers of the last 5 years should have support for this)."
"a.2070.text","en","I'm not sure about this and/ or my computer already has performance issues."
"a.2071.text","en","I wish to run all applications in isolated containers. I am aware that this may cause the distribution more difficult to use."
"a.2072.text","en","I know what 'systemd' is and wish to avoid that."
"a.2073.text","en","I wish to install packages from other distributions without additional effort."
"a.2074.text","en","I don't want to use package managers. I wish to install everything from source."
"all-like","en","Similar UI concepts to other operating systems"
"container","en","Applications are executed in an isolated environemnt"
"d.1.description","en","Arch Linux is a Linux-based operating system for i686 and x86-64 computers. It is composed predominantly of free and open source software, and supports community involvement.  The design approach of the development team focuses on elegance, code correctness, minimalism, and simplicity, and expects the user to be willing to make some effort to understand the system's operation. A package manager written specifically for Arch Linux, pacman, is used to install, remove and update software packages.  Arch Linux uses a rolling release model, such that a regular system update is all that is needed to obtain the latest Arch software; the installation images released by the Arch team are simply up-to-date snapshots of the main system components."
"d.10.description","en","PCLinuxOS, often shortened to PCLOS, is a Linux distribution, with KDE Plasma Desktop as its default user interface. It is a primarily free software operating system for personal computers aimed at ease of use. It is considered a rolling release."
