DBIndex,AnswerId,LanguageKey,Text
1,1,1,Ich kenne mich bereits gut mit dem Computer aus. Im Notfall kann ich auch selbst Lösungen für Probleme mit meinem System finden.
2,1,2,I am good in computing and I'm able to find solutions for problems with my system.
3,2,1,Ich kenne mich noch nicht so gut am Computer aus und benötige zum Teil noch Hilfe von anderen.
4,2,2,Sometimes I need help from others to get problems with my computer fixed.
5,4,1,Ich kenne mich noch nicht so gut mit Linux aus. Ich benötige eventuell Hilfe bei manchen Problemen.
6,4,2,I am not very expierienced with Linux and I might need some help troubleshooting the problems.
7,5,1,Ich habe Linux bereits ein wenig verwendet.
8,5,2,I already used Linux a little bit.
9,6,1,Ich kenne mich in Linux aus und kann auch tiefgreifende Probleme selbständig lösen.
10,6,2,I am already expierienced with Linux and I can solve problems on my own.
11,7,1,"Das ist mir besonders wichtig. Ich wünsche mir, das gerade bei der Installation und Konfiguration möglichst viele Werte voreingestellt sind, damit ich nichts falsch machen kann."
12,7,2,"That is very important for me. I wish that most of the settings (e. g. at the installation) are predefined, so I can not do anything wrong."
13,8,1,"Ich komme auch damit klar, Einstellungen und Installationsanleitungen in Wiki's nachzulesen"
14,8,2,Im fine with reading instructions from wiki's for installing or configuring.
15,9,1,"Es ist mir sehr wichtig, andere User über ihre Erfahrungen mit der Distribution befragen zu können."
16,9,2,It is very important for me to ask other users about their expierience about the distribution.
17,10,1,"Ich bevorzuge es, meine Probleme über eine eigene Recherche in Wikis und Tutorials zu lösen."
18,10,2,I prefer to fix my problems using wiki articles and tutorials.
19,11,1,Ich möchte die Distribution über einen grafischen Assistenten installieren.
20,11,2,I prefer to install the system using an graphical installation assistant.
21,12,1,Ich möchte die Distribution auch (bzw. insbesonders) über die Konsole installieren können.
22,12,2,I prefer to install the system using the console.
23,13,1,Ich bevorzuge eine kostenlose Distribution.
24,13,2,I prefer to use it for free.
25,14,1,"Ich bin auch bereit, für die Nutzung einen Geldbetrag zu leisten, wenn ich im Gegenzug Unterstützung erhalte."
26,14,2,I would pay an amount of money if I get support.
27,15,1,"Das System sollte bereits nach der Installation nutzbar sein, es sollten bereits Programme wie ein Webbrowser vorinstalliert werden."
28,15,2,The system should be ready to use directly after the installation. Programs like a webbrowser should be preinstalled.
29,16,1,Es sollte nur das Basissystem installiert sein. Alle anderen Programme installiere ich selbst.
30,16,2,I only need the base system. Any other program will be installed by me.
31,18,1,Ich benutze ein gängiges System/ mein PC ist aktuell.
32,18,2,I am using a common system/ my computer is up-to-date.
33,17,1,Ich benutze ein älteres System.
34,17,2,I am using an older system.
35,19,1,"Ich will Linux ""normal"" auf der Festplatte nutzen."
36,19,2,I want to use Linux regular from my hard disk drive.
37,20,1,"Ich möchte Linux von einem USB-Stick verwenden, um keine Änderungen an meinem PC vornehmen zu müssen."
38,20,2,I want to use Linux from an usb-drive to avoid changes on the computer.
39,21,1,Ich möchte die Distribution von einer CD/ DVD aus benutzen.
40,21,2,I want to use the distro using a CD or DVD
41,22,1,"Ich möchte die Programme über eine grafische Oberfläche installieren, welche bereits vorinstalliert ist."
42,22,2,"I prefer to install software using a graphical program, which is preinstalled."
43,23,1,"Ich möchte das aus Debian bekannte ""apt""-System verwenden"
44,23,2,"I want to use ""apt"" from debian."
45,24,1,"Ich möchte ""pacman"" aus Arch Linux verwenden."
46,24,2,"I want to use ""pacman"" from Arch Linux."
47,25,1,"Ich möchte das aus Red Hat/ Fedora bekannte ""rpm"" System verwenden."
48,25,2,"I want to use ""rpm"", known from  Red Hat/ Fedora Linux."
49,26,1,"Ich benötige kein Paketmanagement, da ich die Programme vorwiegend aus dem Quellcode selbst bauen möchte."
50,26,2,I prefer building the software using the programs source code.
51,27,1,Ich würde gerne auf die Pakete unterschiedlicher anderer Distributionen zugreifen können.
52,27,2,I wish to access packages from other distributions.
53,28,1,Alltäglicher Gebrauch
54,28,2,Daily use
55,29,1,Anonymisierung
56,29,2,Anonymization
57,30,1,Datenrettung
58,30,2,Data rescue
59,31,1,Die Distribution sollte möglichst von Spieleherstellern unterstützt werden.
60,31,2,The distribution should be supported by game developers.
61,32,1,Ich habe vorher Windows benutzt.
62,32,2,I've used Windows before.
63,33,1,Ich habe zuvor Mac OS eingesetzt.
64,33,2,I was using Mac before.
65,34,1,Ich habe Mac OS und Windows eingesetzt.
66,34,2,I've used Mac OS and Windows.
67,35,1,Ich habe weder Windows noch Mac OS eingesetzt.
68,35,2,I did not use Windows or Mac OS
69,36,1,"Ich bevorzuge stabile, getestete Software. Ich kann auch auf Updates warten, falls nötig."
70,36,2,"I prefer stable software. If needed, I can wait for the updates."
71,37,1,Ich möchte möglichst schnell die Aktualisierungen haben. Ich nehme dabei ein eventuelles Stabilitätsproblem in Kauf.
72,37,2,I want the updates fast. I know that this can cause problems with the stability of my system.
73,38,1,Ich bevorzuge die Verwendung von Software mit einer freien Lizenz (z. B. GNU GPL).
74,38,2,I prefer using software with a free license (e. g. GNU GPL)
75,39,1,Das ist mir egal.
76,39,2,That does not matter for me.
77,40,1,"Ich lege darauf Wert, dass keine Verbindungen ohne meine Zustimmung aufgebaut werden."
78,41,1,"Solange es der Benutzerfreundlichkeit dient, habe ich nichts dagegen"
79,40,2,I don't want this until I allow such connections.
80,41,2,If the reason is a user friendly feature I can support this.
81,42,1,Darauf lege ich sehr großen Wert.
82,42,2,This is very important for me.
83,43,1,Das wäre schön; ich lege aber keinen großen Wert darauf.
84,43,2,"It would be fine if, but I don't insist  on it."
