"val","langCode","translation"
"a.2033.text","fr","J’ai souvent besoin de demander de l’aide pour résoudre mes problèmes."
"a.2034.text","fr","Je suis déjà capable de rêgler certains problèmes moi même."
"a.2035.text","fr","Je suis capable de résoudre tous les problèmes moi même."
"a.2036.text","fr","Je n’ai pas ou peu de connaissances à propos de linux"
"a.2037.text","fr","J’ai déjà utilisé linux à certaines occasions."
"a.2038.text","fr","J’ai déjà une bonne connaissance de linux."
"a.2039.text","fr","Je veux utiliser les paramètres par défaut dans l’installateur."
"a.2040.text","fr","Je n’ai pas besoin de valeurs par défaut dans l’installateur ou pendant la configuration du système."
"a.2041.text","fr","Je préfère tout configurer avec une interface graphique."
"a.2042.text","fr","Je veux installer linux sur mon disque dûr."
"a.2043.text","fr","Je veux installer linux sur une clé USB."
"a.2044.text","fr","Je veux essayer linux sur clé USB ou sur un DVD sans rien changer à mon ordinateur."
"a.2045.text","fr","Je suis capable de résoudre mes problèmes à l’aide de guides de wiki et de tutoriels."
"a.2046.text","fr","Je préfère demander pour de l’aide."
"a.2047.text","fr","Je préfère une interface de type Windows."
"a.2048.text","fr","Je préfère une interface de type MacOS."
"a.2049.text","fr","Je n’ai pas de préférences d’interface."
"a.2050.text","fr","Je peux me permetre d’utiliser une distribution payante."
"a.2051.text","fr","Je préfère une distribution gratuite."
"a.2052.text","fr","Je préfère une distribution avec des programmes préinstallés afin de commencer à travailler dès la fin de l’installation."
"a.2053.text","fr","Je préfère installer les logiciels moi même."
"a.2054.text","fr","Je préfère des logiciels libres uniquement."
"a.2055.text","fr","J’accepte l’utilisation de logiciels propriétaires tant que mon ordinateur fonctionne."
"a.2056.text","fr","Si cela améliore mon expérience utilisateur, j’accepte l’utilisation de ces services en ligne."
"a.2057.text","fr","Je n’en veux pas."
"a.2058.text","fr","C’est important pour moi."
"a.2059.text","fr","Je n’aprécie pas cela, j’installerai les fonds d’écrans,icônes et thèmes par moi même."
"a.2060.text","fr","J’ai envie d’installer les applications en passant par un App store."
"a.2061.text","fr","Je préfère l’utilisation du terminal pour installer des logiciels."
"a.2062.text","fr","Je préfère des mises à jour rapides.(dernières version des logiciels)"
"a.2063.text","fr","Je préfère des mises à jour stables.(logiciels plus anciens)"
"a.2064.text","fr","Je veux utiliser linux quotidiennement."
"a.2065.text","fr","Je veux utiliser linux pour naviguer annonymement."
"a.2066.text","fr","Je veux utiliser linux pour la récupération de données."
"a.2067.text","fr","Je préfère une distribution supportée par les distributeurs de jeux vidéos."
"a.2068.text","fr","Je veux une distribution pour une utilisation scientifique."
"a.2069.text","fr","Mon ordinateur devrait supporter le 64bit.(C’est le cas pour toutes les machines des cinq dernières années)"
"a.2070.text","fr","Je n’en suis pas sûr et/ou mon ordinateur a des problèmes de performances."
"a.2071.text","fr","Je voudrais utiliser mes programmes dans des conteneurs isolés.Je suis conscient que cela pourrait être plus difficile à utiliser."
"a.2072.text","fr","Je connais systemd et je n’en veux pas."
"a.2073.text","fr","Je voudrais pouvoir installer les paquets d’autres distributions sans efforts."
"a.2074.text","fr","Je ne veux pas de gestionnaires de paquets. Je compilerai tout à la main."
"all-like","fr","Concepts d’interface graphiques similaires aux autres systèmes d’exploitation."
"container","fr","Les applications sont exécutées dans un environnement isolé"
"d.1.description","fr","Arch Linux est une distribution linux pour architecture x86(32 et 64bits).Il est principalement composé de logiciels libres et opensource et est supporté par la communauté. L’équipe de développement se concentre sur l’élégance, la qualité du code, le minimalisme, et la simplicité simplicity.Il est attendu que l’utilisateur soit capable de comprendre le système et d’en prendre soin. Pacman, le gestionnaire de paquet à été créé spécifiquement pour Arch Linux. Arch linux est une rolling release ce qui signifie qu’elle dispose de mises à jour fréquentes fournissant la dernières version des paquets. Les images d’installations sont des instantannés des composants principaux de la distribution."
"d.10.description","fr","PCLinuxOS, souvent appelé PCLOS est une distribution linux utilisant KDE Plasma comme environnement de bureau par défaut. Le système est principalement composé de logiciels libres et est conçu pour un usage sur ordinateur personnel et la facilité d'utilisation. Il est considéré comme une rolling release."
"d.11.description","fr","CentOS (abréviation de Community Enterprise Operating System) est une distribution Linux qui tente de fournir une plate-forme informatique gratuite prise en charge par la communauté et destinée à être 100% compatible binaire avec Suse, Red Hat Enterprise Linux (RHEL). En janvier 2014, il a été annoncé que CentOS se joignait officiellement à Red Hat tout en restant indépendant de RHEL, dans le cadre d'un nouveau conseil d'administration de CentOS. La première version de CentOS en mai 2004, numérotée sous le nom de CentOS version 2, était dérivée de la version 2.1AS de RHEL. À partir des versions 5.10 et 6.5, CentOS prend officiellement en charge les architectures x86-64 et x86 (avec Physical Address Extension (PAE) requis pour ce dernier), tandis qu'une version bêta devrait être disponible pour l'architecture PowerPC."
"d.12.description","fr","Le système d'exploitation Puppy Linux est une distribution Linux légère qui met l'accent sur la facilité d'utilisation et l'encombrement minimal de la mémoire. L'ensemble du système peut être exécuté à partir de la RAM avec les versions actuelles occupant généralement environ 130 Mo, ce qui permet de retirer le support de démarrage après le démarrage du système d'exploitation. Des applications telles que AbiWord (documents Word), Gnumeric (tableurs) et MPlayer (lecteur multimédia) sont incluses, ainsi qu'un choix de navigateurs Web légers. La distribution a été initialement développée par Barry Kauler et d'autres membres de la communauté. L'outil Woof peut construire une distribution Linux Puppy à partir des paquets binaires d'autres distributions Linux."
"d.13.description","fr","Knoppix est un système d'exploitation basé sur Debian conçu pour être exécuté directement à partir d'un CD / DVD (Live CD) ou d'un lecteur flash USB (Live USB), l'un des premiers du genre pour tout système d'exploitation. Knoppix a été développé par le consultant Linux Klaus Knopper. Au démarrage d'un programme, il est chargé à partir du support amovible et décompressé dans la RAM. La décompression est transparente et à la volée. Bien que Knoppix soit principalement conçu pour être utilisé comme Live CD, il peut également être installé sur un disque dur comme un système d'exploitation typique. Les ordinateurs prenant en charge le démarrage à partir de périphériques USB peuvent charger Knoppix à partir d'un lecteur flash USB ou d'une carte mémoire. Il existe deux éditions principales de Knoppix: l'édition traditionnelle Compact Disc (700 mégaoctets) et l'édition ""Maxi"" DVD (4.7 gigabytes). Chacune de ces éditions principales possèdent deux éditions spécifiques à la langue: l'anglais et l'allemand."
"d.14.description","fr","Gentoo Linux est un système d'exploitation basé sur le noyau Linux et construit à l'aide gestionnaire de paquets Portage. Il est distribué en tant que logiciel libre et open source. Contrairement à une distribution binaire, le code source est compilé localement en fonction des préférences de l'utilisateur et est souvent optimisé pour l'ordinateur sur lequel il est compilé. Les binaires précompilés sont disponibles pour certains paquets très volumineux et pour les paquets dont le code source n'a pas été libéré. Le nom ""Gentoo"" vient du pingouin Gentoo qui nage rapidement. Il a été choisi pour refléter les améliorations de vitesse potentielles de l'optimisation spécifique à la machine. La gestion des paquets de Gentoo est conçue pour être modulaire, portable, facile à entretenir et flexible. Gentoo est parfois décrit comme une méta-distribution, ""en raison de son adaptabilité presque illimitée"", en ce sens que la majorité des utilisateurs ont des configurations et des ensembles de programmes installés qui leur sont propres."
"d.15.description","fr","Antergos (anciennement connu sous le nom de Cinnarch) est une distribution Linux d'origine galicienne basée sur le système d'exploitation Arch Linux. Il utilise par défaut l'environnement de bureau GNOME 3, mais il peut également être utilisé avec Cinnamon, Razor-qt et Xfce. Il a été publié en Juillet 2012 comme Cinnarch et en mai 2013, il se classait parmi les 30 distributions les plus populaires sur Distrowatch. Le mot galicien Antergos (signifiant: ancêtres) a été choisi pour «lier le passé au présent»."
"d.16.description","fr","Bedrock Linux est une distribution Linux créée dans le but de rendre la plupart des avantages (souvent apparemment mutuellement exclusifs) de diverses autres distributions Linux disponibles simultanément et de manière transparente."
"d.17.description","fr","Tails ou The Amnesic Incognito Live System est une distribution Linux basée sur Debian, axée sur la sécurité et visant à préserver la confidentialité et l'anonymat. Toutes ses connexions sortantes sont forcées à passer par Tor, et les connexions directes (non anonymes) sont bloquées. Le système est conçu pour être démaré depuis un DVD ou une clé USB et ne laissera aucune trace sur la machine, sauf indication contraire explicite. Le projet Tor a fourni la majeure partie du soutien financier pour son développement."
"d.18.description","fr","Zorin OS est une distribution basée sur Ubuntu pour les nouveaux utilisateurs de Linux. L'interface utilisateur rappelle Windows, ce qui rend l'orientation plus facile."
"d.19.description","fr","Xubuntu est une variante d'Ubuntu reconnue par Canonical Ltd. Il utilise l'environnement de bureau Xfce, au lieu de gnome."
"d.2.description","fr","Ubuntu est un système d'exploitation Linux basé sur Debian, avec Gnome shell comme environnement de bureau par défaut. C'est un logiciel libre nommé d'après la philosophie sud-africaine de l'ubuntu (littéralement «humanité»), souvent traduit par «humanité envers les autres» ou «la croyance en un lien universel de partage qui relie toute l'humanité» . Selon certaines métriques, Ubuntu est la distribution Linux de bureau la plus populaire à ce jour. Le développement d'Ubuntu est dirigé par Canonical Ltd., une société détenue par l'entrepreneur sud-africain Mark Shuttleworth. Canonical génère des revenus grâce à la vente de support technique et d'autres services liés à Ubuntu. Le projet Ubuntu est publiquement engagé sur les principes du développement open source; les gens sont encouragés à utiliser des logiciels libres, à étudier leur fonctionnement, à les améliorer et à les distribuer."
"d.20.description","fr","Lubuntu est un système d'exploitation Linux léger basé sur Ubuntu mais utilisant l'environnement de bureau LXDE à la place de GNOME. LXDE est présenté comme étant «plus léger, moins gourmand en ressources et plus économe en énergie»."
"d.21.description","fr","Kubuntu est un dérivé officiel du système d'exploitation Ubuntu qui utilise KDE Plasma au lieu de GNOME. Dans le cadre du projet Ubuntu, Kubuntu utilise les mêmes systèmes sous-jacents, chaque paquet dans Kubuntu partage les mêmes dépôts qu'Ubuntu, et il est publié régulièrement selon le même calendrier qu'Ubuntu."
"d.22.description","fr","Slackware est une distribution Linux créée par Patrick Volkerding en 1993. Initialement basée sur Softlanding Linux System, Slackware a été à la base de nombreuses autres distributions Linux, notamment les premières versions de SUSE Linux, et est la plus ancienne en cours de maintenance. Slackware vise la stabilité et la simplicité du design et est la distribution Linux la plus ""Unix-like"". Il apporte aussi le moins de modifications possible aux logiciels et tente de ne pas anticiper les cas d'utilisation ou d'empêcher les décisions des utilisateurs."
"d.23.description","fr","Ubuntu MATE est un système d'exploitation stable et facile à utiliser avec un environnement de bureau configurable. Idéal pour ceux qui veulent tirer le meilleur parti de leurs ordinateurs de bureau, portables et netbooks et préfèrent un bureau traditionnel. Avec des exigences matérielles modestes, il convient aux postes de travail modernes et aux matériels plus anciens."
"d.24.description","fr","Ubuntu GNOME (maintenant Ubuntu avec la session gnome vanilla) est une expérience de bureau GNOME pure construite à partir des dépôts Ubuntu."
"d.25.description","fr","NixOS est une distribution Linux basée sur le gestionnaire de paquets nix. La principale caractéristique de cette distribution est la configuration déclarative - chaque composant du système, du chargeur de démarrage au bureau, est configuré avec le même gestionnaire (Nix)."
"d.26.description","fr","KDE néon est une distribution KDE pure. Les contributeurs et les testeurs de KDE peuvent utiliser les paquets construits à partir de KDE Git. Il utilise la fondation de l'avant dernière Ubuntu LTS (16.04)."
"d.27.description","fr","Linux From Scratch est un projet qui vous fournit des instructions étape par étape pour construire votre propre système Linux personnalisé entièrement à partir de la source."
"d.28.description","fr","Red Hat Enterprise Linux (RHEL) est une distribution Linux pour les entreprises, offrant une grande stabilité et un support étendu par les développeurs de logiciels indépendants"
"d.29.description","fr","Qubes OS exécute toutes les applications dans des environnements virtuels. Les environnements sont basés sur Fedora, Debian, Whonix ou Windows. En utilisant cette technique d'isolation, une meilleure sécurité est accordée à l'utilisateur."
"d.3.description","fr","Manjaro Linux, ou juste Manjaro (prononcé comme Kilimanjaro), est une distribution Linux, avec Xfce comme interface utilisateur par défaut. C'est un système d'exploitation gratuit pour les ordinateurs personnels visant à la facilité d'utilisation. Comme sa base, Arch Linux, il utilise un modèle de rolling release."
"d.30.description","fr","Scientific Linux est une forme dérivée de la distribution Red Hat Enterprise Linux (RHEL). La distribution est conçue à des fins scientifiques, en outre, elle est entièrement compatible avec RHEL. Les mises à jour de RHEL sont ajustées pour Scientific Linux avec un délai de quelques mois."
"d.31.description","fr","Void Linux est une nouvelle distribution Linux sans rapport avec les autres distributions. Les programmes sont liés à musl ou à libc. Le gestionnaire de paquets XBPS permet d'installer des programmes depuis la source ou via des binaires. Void Linux utilise runit au lieu de systemd."
"d.32.description","fr","Devuan est un fork de Debian qui n'utilise pas systemd. Au lieu de cela, runit, sysvinit et d'autres peuvent être utilisés en remplacement."
"d.33.description","fr","openSuse Tumbleweed est une distribution-release-rolling basée sur openSuse Factory. La distribution dispose de mises à jour rapides et offre des logiciels plus récents en comparaison avec d'autres éditions d'openSuse. openSuse Tumbleweed est recommandé pour les utilisateurs expérimentés avec openSuse, mais pas pour les débutants sous Linux."
"d.34.description","fr","Solus OS est une distribution Linux conviviale pour les débutants, disposant du bureau Budgie, fournissant une expérience hors de l'ordinaire. La distribution ne prend en charge que les systèmes compatibles 64 bits."
"d.4.description","fr","Linux Mint est une distribution Linux 32 et 64 bits pour les ordinateurs de bureau, basée sur Ubuntu ou Debian. Son objectif déclaré est d'être un «système d'exploitation moderne, élégant et confortable à la fois puissant et facile à utiliser». Mint fournit un support multimédia complet prêt à l'emploi en incluant certains logiciels propriétaires tels qu'Adobe Flash. La devise de Mint est ""de la liberté est venue l'élégance"". De nouvelles versions de Linux Mint ont été publiées environ tous les six mois. La première version, appelée ""Ada"", a été publiée en 2006. La dernière version dénommée ""Tara"" à été publiée en 2018. La prise en charge des versions plus anciennes se termine généralement peu après la publication de la prochaine version, mais il existe aussi les versions à support à long terme, supportées pendant 5 ans."
"d.5.description","fr","Debian est un système d'exploitation qui est principalement composé de logiciels libres, dont la plupart sont sous licence publique générale GNU, et développés par un groupe d'individus connu sous le nom de projet Debian. Debian est l'une des distributions Linux les plus populaires pour les ordinateurs personnels et les serveurs réseau, et a été utilisée comme base pour plusieurs autres distributions Linux. Debian a été annoncé en 1993 par Ian Murdock, et la première version stable a été produite en 1996. Le développement est effectué sur Internet par une équipe de bénévoles guidés par un chef de projet et trois documents fondamentaux. Les nouvelles distributions sont continuellement mises à jour et le prochain candidat est libéré après un gel temporel. Comme l'une des premières distributions Linux, il était envisagé que Debian soit développé ouvertement dans l'esprit de Linux et GNU. Cette vision a attiré l'attention et le soutien de la Free Software Foundation, qui a parrainé le projet pour la première partie de sa vie."
"d.6.description","fr","Mageia est un système d'exploitation Linux sous forme de logiciel libre et open source. Il est dérivé de la distribution Mandriva Linux. La première version de la distribution, Mageia 1, est née en juin 2011."
"d.7.description","fr","Fedora (anciennement Fedora Core) est un système d'exploitation basé sur le noyau Linux, développé par le projet Fedora soutenu par la communauté et appartenant à Red Hat. Fedora contient des logiciels distribués sous une licence libre et open source et vise à être à la pointe de ces technologies. Linus Torvalds, auteur du noyau Linux, utilise Fedora sur tous ses ordinateurs."
"d.8.description","fr","openSUSE est un système d'exploitation généraliste basé sur le noyau Linux, développé par le projet openSUSE soutenu par la communauté et sponsorisé par SUSE et un certain nombre d'autres sociétés. Après l'acquisition de SUSE Linux par Novell en janvier 2004, Novell a décidé de lancer le produit SUSE Linux Professional en tant que projet 100% open source. En 2011, le groupe Attachmate a racheté Novell et scindé Novell et SUSE en deux filiales autonomes. SUSE propose des produits et services autour de SUSE Linux Enterprise, leur offre commerciale basée sur openSUSE. La version initiale du projet communautaire était une version bêta de SUSE Linux 10.0."
"d.9.description","fr","ElementaryOS est une distribution Linux basée sur Ubuntu. Il utilise un bureau avec son propre shell nommé Pantheon, et est profondément intégré avec d'autres applications comme Plank (un dock), Midori (le navigateur web par défaut) et Scratch (un simple éditeur de texte). Cette distribution utilise Gala comme gestionnaire de fenêtres, basé sur Mutter. La distribution a d'abord commencé comme un ensemble de thèmes et d'applications conçus pour Ubuntu qui devint plus tard sa propre distribution Linux. Étant basé sur Ubuntu, il est compatible avec ses dépôts et paquets. Il utilise son propre centre de logiciel pour gérer l'installation / suppression de logiciels. Son interface utilisateur vise à être intuitive pour les nouveaux utilisateurs sans consommer trop de ressources. Son aspect ressemble à MacOS."
"fromsource","fr","Les programmes sont principalement obtenus à partir du code source."
"help-community","fr","L’aide communautaire est présente."
"help-wiki","fr","L’aide via wiki est présente."
"important","fr","Important !"
"installation-base","fr","N’installe que la base du système d’exploitation."
"installation-full","fr","Installe des logiciels supplémentaires comme par exemple un navigateur web."
"installation-hdd","fr","Peut être installé sur un disque dûr."
"installation-live","fr","Essai sans installation disponible."
"installation-usb","fr","Peut être installé sur une clé USB."
"installer-defaults-wanted","fr","Installateur avec paramètres par défaut."
"installer-hdd","fr","Installation sur disque dûr possible."
"installer-no-defaults","fr","Installation : aucun prédéfini."
"installer-no-defaults-wanted","fr","Moins de prédéfinis à l’installation."
"license-free","fr","Licenses libres telles que GNU/GPL."
"license-unfree-if-needed","fr","Dispose de logiciels non libres."
"license-unfree-if-needed","fr","Dispose de logiciels fermés, si besoin."
"linux-advanced","fr","Connaissance de linux : Avancé"
"linux-beginner","fr","Connaissance de linux : Débutant"
"linux-expert","fr","Connaissance de linux : Expert"
"mac-like","fr","L’interface par défaut ressemble à MacOS."
"multipackage","fr","Est capable d’installer les paquets d’autres distributions."
"no-package-manager","fr","Les applications sont installées après compilation."
"no-systemd","fr","Certaines variantes n’utilisent pas systemd."
"notimportant","fr","Moins important."
"pay-nothing","fr","Les variantes sont gratuites."
"pay-price","fr","Il existe des variantes payantes ex : pour usage en entreprise."
"pc-advanced","fr","Connaissance en informatique : Avancé"
"pc-beginner","fr","Connaissance en informatique : Débutant"
"pc-expert","fr","Connaissance en informatique : Expert"
"pc-old","fr","Variantes pour anciens ordinateurs disponibles."
"pc-up-to-date","fr","Necessite un ordinateur récent et n’est pas disponible pour les processeurs 32bits."
"privacy-online-not-okay","fr","Ne se connecte à aucune companie tierce en arrière plan."
"privacy-online-okay","fr","Se connecte à des companies tierces en arrière plan."
"programs-graphical","fr","App store disponible."
"programs-shell","fr","Installation de logiciels via la ligne de commande."
"q.1.text","fr","Quelles sont mes compétences en informatique ?"
"q.1.title","fr","Connaissance en informatique"
"q.10.text","fr","Certaines distributions utilisent des services en ligne. Ceci pourrait affecter votre vie privée."
"q.10.title","fr","Distributions: Vie privée"
"q.11.text","fr","Certaines distributions fournissent des thèmes et des icones pour créer une expérience utilisateur complète."
"q.11.title","fr","Distributions: Themes, icones et fonds d’écran prédéfinis"
"q.12.text","fr","Sûr linux, vous pouvez installer les logiciels de plusieurs manières différentes, depuis le code source ou via des paquets. Lequel préférez vous ?"
"q.12.title","fr","Logiciels : Administration"
"q.13.text","fr","Certaines distributions sont mises à jour plus souvent, ce qui peut affecter la stabilité du système. Que préférez vous ?"
"q.13.title","fr","Logiciels : Mises à jour"
"q.14.text","fr","Certaines distributions sont faites pour des utilisations spécifiques, d’autre pour un usage quotidien. Que choisissez vous ?"
"q.14.title","fr","Logiciels : Utilisation"
"q.15.text","fr","Il est important de connaître l’âge d’une machine car certaines distributions ne sont pas compatibles avec les anciennes."
"q.15.title","fr","Installation : Support matériel"
"q.16.text","fr","Certaines distributions viennent avec des fonctionnalitées spéciales comme des améliorations de sécurité. Que choisissez vous ? (Si vous en choisissez)"
"q.16.title","fr","Distributions : Fonctionnalitées spéciales"
"q.2.text","fr","Quelles sont mes compétences avec linux lui-même ?"
"q.2.title","fr","Compétences linux"
"q.3.text","fr","Combien d’options voulez vous modifier durant l’installation ? Combien de valeurs prédéfinies ?"
"q.3.title","fr","Installation : Valeurs prédéfinies"
"q.4.text","fr","La plupart des distributions peuvent être démarées depuis une clé USB ou un DVD afin de tester la distribution sans modifier l’ordinateur ou être installées sur un disque dur. D’autres peuvent être installées sur une clé USB (installation persistante)"
"q.4.title","fr","Installation : Essai requis ?"
"q.5.text","fr","Certaines distributions préfèrent des articles de wiki pour trouver les solutions aux problèmes, que préférez vous ?"
"q.5.title","fr","Configuration : Source d’aide"
"q.6.text","fr","Linux peut utiliser une plétore d’interface graphiques (""Environnements de Bureau""). La majorité en fournit un par défaut. Il est important de savoir si vous avez une préférence sachant que vous pouvez en changer à n’importe quel moment !"
"q.6.title","fr","Distributions : Concept d’expérience utilisateur"
"q.7.text","fr","La plupart des distributions sont gratuites. Certaines sont payantes."
"q.7.title","fr","Distributions : Prix"
"q.8.text","fr","Différentes distributions installent différents programmes, certaines en installent assez pour commencer à travailler directement. D’autres ne fournissent qu’une installation de base, c’est donc à l’utilisateur de choisir ce qu’il veut installer."
"q.8.title","fr","Distributions : Envergure"
"q.9.text","fr","La license(idéologie) d’une distribution est un débat continu. Certaines ne fournissent que des logiciels libres, d’autres acceptent les logiciels non libres. Les licences libres permettent à l’utilisateur de modifier, redistribuer et d’utiliser le logiciel comme il l’entend. Il y existe des situations où la distribution doit utiliser des logiciels non libres par exemple pour les drivers. Les logiciels non libres n’autorisent pas les modifications ni l’inspection du code."
"q.9.title","fr","Distributions : Idéologie"
"share","fr","Partager mon résultat"
"sys.3","fr","Ce lien contient un vieux test, créé avec une ancienne version de distrochooser.de. Vous pouvez y accéder <a href='#link#'>ici</a>."
"sys.3link","fr","ici"
"sys.3link","fr","ici"
"sys.3link","fr","ici"
"sys.abort","fr","annuler"
"sys.about","fr","À propos de ce projet"
"sys.about.short","fr","À propos de ce projet"
"sys.answered","fr","répondu"
"sys.back","fr","retour"
"sys.backshort","fr","retour"
"sys.can-delete","fr","Vous pouvez supprimer vos réponses à n’importe quel moment."
"sys.can-get-result-anyorder","fr","Vous pouvez répondre dans l’ordre que vous voulez."
"sys.can-get-result-anytime","fr","Vous pouvez voir les résultats à n’importe quel moment."
"sys.can-mark-important","fr","Vous pouvez pondérer les questions en fonction de ce qui vous importe le plus."
"sys.can-skip-questions","fr","Vous pouvez passer les questions."
"sys.clear","fr","vider"
"sys.contact","fr","Contacter"
"sys.displayexcluded","fr","Afficher exclus"
"sys.excludedbytag","fr","Cette question est trop éloignée de vos habitudes. Vous pouvez y répondre, mais vous pouvez la passez sans problème."
"sys.getresult","fr","Voir les résultats"
"sys.imagesource","fr","Image source"
"sys.important","fr","important"
"sys.intro","fr","Bienvenue"
"sys.intro","fr","Bienvenue ! Ce test vous aidera à trouver la distribution linux qui vous convient le mieux ."
"sys.lang","fr","Language"
"sys.links","fr","Liens"
"sys.next","fr","procéder"
"sys.nodistros","fr","Nous n’avons pas pû calculer une liste en fonction de vos réponses."
"sys.nodistrostext","fr","Merci d’adapter vos réponses ainsi que la pondération afin de nous aider à recalculer pour vous."
"sys.notags","fr","Nous n’avons pas pû trouver de corrélation en fonction de vos exigences."
"sys.notimportant","fr","non important"
"sys.or","fr","ou"
"sys.privacy","fr","Vie privée"
"sys.rate","fr","Que pensez vous du résultat ?"
"sys.rated","fr","Merci de votre appréciation !"
"sys.rating-1","fr","Non satisfait !"
"sys.rating-2","fr","Bof !"
"sys.rating-3","fr","Très satisfait !"
"sys.skip","fr","passer la question"
"sys.start","fr","Commencer le test"
"sys.textsource","fr","Source du texte"
"sys.vendor","fr","Un projet par"
"sys.warning","fr","Attention"
"sys.weight","fr","Pondérer mes réponses"
"sys.weight","fr","Pondérer les réponses"
"sys.weighterror","fr","Toutes vos évaluations sont négatives, nous ne pouvons pas continuer avec ces données. Merci de laisser au minimum 1 catégorie avec une valeur positive ou neutre."
"sys.weightinfo","fr","Move the slider to mark a property as important (right) or less important (left)"
"sys.weightorresult","fr","Voir les résultats ou Pondérer mes réponses ?"
"sys.welcometext","fr","Bienvenue"
"systemd","fr","Les variantes utilisent SystemD comme système d’initialisation"
"updates-stable","fr","Les mises à jour sont plus râres mais plus stables."
"updates-unstable","fr","Les mises à jour fréquentes peuvent êtres instables."
"usage-anon","fr","Créé pour des raisons d’anonymat."
"usage-daily","fr","Peut être utilisé pour un usage quotidien."
"usage-gaming","fr","Les créateurs de jeux vidéos supportent cette distribution."
"usage-rescue","fr","Peut être utilisé pour récupérer des données car utilisable depuis une clé USB ou un DVD."
"usage-science","fr","Distribue des logiciels scientifiques."
"ux-closed","fr","L’interface dispose de ses propres couleurs et règles esthétiques."
"ux-undecided","fr","Ne délivre pas un concept d’interface fermé."
"windows-like","fr","Le design de l’interface utilisateur peut faire penser à Windows."
