"val","langCode","translation"
"a.2033.text","zh-cn","我经常需要他人的帮助。"
"a.2034.text","zh-cn","我可以自力解决一部分问题。"
"a.2035.text","zh-cn","我可以独立解决各种问题。"
"a.2036.text","zh-cn","我完全不了解，或者只是听说过一些。"
"a.2037.text","zh-cn","我正在使用 Linux 来完成一些工作。"
"a.2038.text","zh-cn","我很熟悉 Linux 操作系统。"
"a.2039.text","zh-cn","我想使用安装向导给出的所有默认设置。"
"a.2040.text","zh-cn","我不需要系统安装向导和各设置向导给出默认设置。"
"a.2041.text","zh-cn","我希望能在图形界面上完成尽可能多的设置。"
"a.2042.text","zh-cn","我想通过传统方式使用 Linux，即将它安装在电脑硬盘上。"
"a.2043.text","zh-cn","我想把 Linux 安装到 USB 闪存盘上。"
"a.2044.text","zh-cn","我想在启动盘引导之后试用它，而不修改我电脑上的任何数据。"
"a.2045.text","zh-cn","我可以根据网上的文章和 wiki 上的说明独自解决问题。"
"a.2046.text","zh-cn","我更喜欢寻求他人的帮助。"
"a.2047.text","zh-cn","我更喜欢 Windows 风格的界面。"
"a.2048.text","zh-cn","我更喜欢 macOS 风格的界面。"
"a.2049.text","zh-cn","我对界面风格没有特别的喜好。"
"a.2050.text","zh-cn","我可以为发行版付费。"
"a.2051.text","zh-cn","我更希望免费使用。"
"a.2052.text","zh-cn","我希望发行版安装所有我需要的软件，让我能在装好系统后就立即开始工作。"
"a.2053.text","zh-cn","我想自己选择要安装的软件。"
"a.2054.text","zh-cn","我希望尽可能地使用自由软件。"
"a.2055.text","zh-cn","只要我的电脑能工作，使用非自由软件也行。"
"a.2056.text","zh-cn","如果可以提高我的使用体验，我同意使用这类服务。"
"a.2057.text","zh-cn","我不需要这个。"
"a.2058.text","zh-cn","这很重要。"
"a.2059.text","zh-cn","我不需要这样。我会自己安装图标、壁纸、主题。"
"a.2060.text","zh-cn","我想通过各种「软件商店」来安装。"
"a.2061.text","zh-cn","我主要通过终端命令来安装。"
"a.2062.text","zh-cn","我想要频繁的更新。"
"a.2063.text","zh-cn","我想要稳定的更新。"
"a.2064.text","zh-cn","我想日常使用 Linux。"
"a.2065.text","zh-cn","我想用于匿名上网。"
"a.2066.text","zh-cn","我想用于数据恢复。"
"a.2067.text","zh-cn","我希望它有许多游戏发行商的支持。"
"a.2068.text","zh-cn","我想用于科学研究。"
"a.2069.text","zh-cn","我的电脑应该支持 64 位架构（所有五年内生产的电脑都应该支持）。"
"a.2070.text","zh-cn","我不太确定这个。另外，我的电脑也可能出现了性能问题。"
